ГЕККОН,ящерица,"Гекко́ны, или гекко́новые, или цепкопа́лые (лат. Gekkonidae), — обширное семейство небольших и средней величины весьма своеобразных ящериц, ..."
ГЕККОН,чешуйчатый,"Гекко́ны, или гекко́новые, или цепкопа́лые (лат. Gekkonidae), — обширное семейство ... Отряд: Чешуйчатые ..."
ГЕККОН,пресмыкающиеся,"Атлас пресмыкающихся Северной Евразии (таксономическое разнообразие, географическое распространение и природоохранный статус). — СПб. : ..."
ГЕККОН,животное,"↑ Grzimek's Animal life encyclopedia, volume 7. Reptiles, 2003, pp. 259—263. ↑ H. Zeng, N. Pesika, Y. Tian et al."
ГЕККОН,рептилия,"... геккона также участвуют в прикреплении волосков к стеклу, играя роль своеобразной биологической пружины, прижимающей конечности рептилии к ..."
ГЕЛЬ,желеобразное вещество,"Примеры употребления слова гель в литературе. А потом мир сжался до размеров Никиного тела, и сделалось ясно, что маленький мир с ..."
ГЕЛЬ,косметика,"Корейские универсальные гели для тела в интернет магазине BBcream.ru - лучшие цены, отзывы, доставка по всей России! Тел: +7 (499) 653-72-81."
ГЕОРГИН,растение,"Многолетние травянистые растения с мясистыми, клубневидно-утолщенными корнями. Надземная часть растений ежегодно отмирает до корневой ..."
ГЕОРГИН,цветы,В неспециализированной литературе и разговорном русском языке цветок называют в мужском роде: «георгин». Ботаническое описание[править | ...
ГЕОРГИН,сложноцветный цветок,"Георги́на, также (в неспециализированной литературе) Георги́н (лат. Dáhlia), — род многолетних травянистых растений семейства Астровые (Сложноцветные) с клубневидными корнями и крупными цветками яркой ... Эти цветы стали модной рыночной новинкой, один экземпляр хорошего нового сорта ..."
ГЕОРГИН,трава,"Георги́на, также (в неспециализированной литературе) Георги́н (лат. Dáhlia), — род многолетних травянистых растений семейства Астровые ..."
ГЕОРГИН,зелень,"2018 ж. 30 нау. - Некоторые сорта георгинов из простых, анемоновидных, ... возвышающихся над первым, и цветки как бы прячутся в зелени листьев."
ГЕОФАК,факультет,Географический факультет МГУ имени М.В.Ломоносова – крупнейший в мире научно-образовательный коллектив географов. Декан факультета ...
ГЕОФАК,направление подготовки,"Учебный план всех направлений подготовки бакалавриата включает четыре блока дисциплин. Гуманитарные дисциплины: русский язык и культура речи, ..."
